0,b
1,c
2,d
3,e
4,f
5,g
6,h
7,a
8,bc
9,cd
10,de
11,ef
12,b
13,c
14,d
15,e
16,f
17,g
18,h
19,a
20,bc
21,cd
22,de
23,ef
24,b
25,c
26,d
27,e
28,f
29,g
30,h
31,a
32,bc
33,cd
34,de
35,ef
36,b
37,c
38,d
39,e
40,f
41,g
42,h
43,a
44,bc
45,cd
46,de
47,ef
48,b
49,c
50,d
51,e
52,f
53,g
54,h
55,a
56,bc
57,cd
58,de
59,ef
60,b
61,c
62,d
63,e
64,f
65,g
66,h
67,a
68,bc
69,cd
70,de
71,ef
72,b
73,c
74,d
75,e
76,f
77,g
78,h
79,a
80,bc
81,cd
82,de
83,ef
84,b
85,c
86,d
87,e
88,f
89,g
90,h
91,a
92,bc
93,cd
94,de
95,ef
96,b
97,c
98,d
99,e
100,f
101,g
102,h
103,a
104,bc
105,cd
106,de
107,ef
108,b
109,c
110,d
111,e
112,f
113,g
114,h
115,a
116,bc
117,cd
118,de
119,ef
